slug,model,short_name,creator,creator_slug,release_date,size_class,is_reasoning,is_open_weights,intelligence_index,score_per_minute,headline_value,cost_per_task_usd,cost_input_usd,cost_output_usd,cost_reasoning_usd,avg_execution_time_sec,output_tokens,answer_tokens,reasoning_tokens,eval_cost_usd,score_per_cost,score_per_sec,cost_per_score,tokens_per_sec,score_per_1k_output_tokens
claude-opus-5-5,"Claude Opus 5.5 (Adaptive Reasoning, Max Effort, Default Fallback)",Claude Opus 5.5 (max with fallback),Anthropic,anthropic,2026-09-22,large,True,False,57.6223698102963,,,0.770958,0.02173,0.0373,0.711927,,37461.4,1865.0,35596.4,,74.74125673551127,,0.013379491377014502,,1.5381798280442347
claude-opus-5-5-xhigh,"Claude Opus 5.5 (Adaptive Reasoning, Xhigh Effort, Default Fallback)",Claude Opus 5.5 (xhigh with fallback),Anthropic,anthropic,2026-09-22,large,True,False,55.9873505840139,75.31930571840435,,0.145854,0.018785,0.030496,0.096574,44.6,6353.5,1524.8,4828.7,,383.8588628629582,1.2553217619734058,0.0026051241660584273,142.45515695067263,8.81204856913731
claude-opus-5-5-high,"Claude Opus 5.5 (Adaptive Reasoning, High Effort, Default Fallback)",Claude Opus 5.5 (high with fallback),Anthropic,anthropic,2026-09-22,large,True,False,53.5831959822067,144.81944860055867,,0.078086,0.018005,0.027341,0.03274,22.2,3004.0,1367.1,1637.0,,686.2074633379441,2.4136574766759775,0.0014572852284871157,135.31531531531533,17.837282284356426
claude-fable-5-1,"Claude Fable 5.1 (Adaptive Reasoning, Max Effort, Default Fallback)",Claude Fable 5.1 (max with fallback),Anthropic,anthropic,2026-09-01,large,True,False,53.3549259623252,15.015457587896398,,1.203406,0.051436,0.064901,1.087069,213.2,23039.4,1298.0,21741.4,,44.336596262878196,0.25025762646494,0.022554730951173,108.06472795497187,2.315812302504631
claude-fable-5-1-xhigh,"Claude Fable 5.1 (Adaptive Reasoning, Xhigh Effort, Default Fallback)",Claude Fable 5.1 (xhigh with fallback),Anthropic,anthropic,2026-09-01,large,True,False,53.2032587538944,29.259354035138998,,0.556978,0.048158,0.056185,0.452635,109.1,10176.4,1123.7,9052.7,,95.52129303831462,0.4876559005856499,0.010468870009945208,93.27589367552704,5.2281021534034045
gpt-6-astra,GPT-6 Astra (max),GPT-6 Astra (max),OpenAI,openai,2026-09-03,large,True,False,52.673669395513,30.743386806719652,,0.30341,0.022917,0.022384,0.25811,102.8,5609.9,447.7,5162.2,,173.60558121193435,0.5123897801119942,0.005760183474627001,54.57101167315175,9.389413250773277
gpt-6-astra-xhigh,GPT-6 Astra (xhigh),GPT-6 Astra (xhigh),OpenAI,openai,2026-09-03,large,True,False,52.3863277108782,55.24041586384344,,0.172456,0.023073,0.02257,0.126814,56.9,2987.7,451.4,2536.3,,303.7663387233741,0.9206735977307241,0.003292003992946215,52.5079086115993,17.533998631347927
claude-opus-5-5-medium,"Claude Opus 5.5 (Adaptive Reasoning, Medium Effort, Default Fallback)",Claude Opus 5.5 (medium with fallback),Anthropic,anthropic,2026-09-22,large,True,False,51.2434931792768,174.69372674753453,,0.062154,0.017457,0.025716,0.01898,17.6,2234.8,1285.8,949.0,,824.4601019930624,2.911562112458909,0.0012129149701514783,126.97727272727273,22.929789323105776
claude-opus-5,"Claude Opus 5 (Adaptive Reasoning, Max Effort)",Claude Opus 5 (max),Anthropic,anthropic,2026-07-24,large,True,False,50.7771115797629,28.79609352349503,,0.255456,0.019565,0.02643,0.20946,105.8,9435.6,1057.2,8378.4,,198.7704793771252,0.4799348920582505,0.005030928149560429,89.18336483931948,5.381439609538651
muse-spark-1-3,Muse Spark 1.3 (max),Muse Spark 1.3 (max),Meta,meta,2026-09-02,large,True,False,48.0923107719685,33.167110877219656,,0.083136,0.004284,0.003428,0.075425,87.0,18553.6,806.5,17747.0,,578.4775641354948,0.5527851812869943,0.0017286755131021355,213.2597701149425,2.592074356026243
gpt-6-sol,GPT-6 Sol (max),GPT-6 Sol (max),OpenAI,openai,2026-09-22,large,True,False,47.5276426437724,32.47902686362578,,0.085707,0.00525,0.003693,0.076765,87.8,8045.8,369.3,7676.5,,554.5362997628245,0.5413171143937632,0.0018033084586666383,91.63781321184511,5.907136971310796
gpt-5-6-sol,GPT-5.6 Sol (max),GPT-5.6 Sol (max),OpenAI,openai,2026-07-09,large,True,False,46.9727068915036,35.229530168627704,,0.126688,0.007634,0.007935,0.111119,80.0,5952.7,396.7,5555.9,,370.7747134022449,0.5871588361437949,0.0026970555538266255,74.40875,7.890991800612092
grok-4-7,Grok 4.7 (xhigh),Grok 4.7 (xhigh),SpaceXAI,xai,2026-09-21,large,True,False,46.4465506302286,4.065343600020008,,0.350873,0.008542,0.004758,0.337573,685.5,57055.2,793.0,56262.1,,132.374251168453,0.06775572666700015,0.0075543392402458165,83.23150984682712,0.814063409298865
mimo-v2-6-pro,MiMo-V2.6-Pro,MiMo-V2.6-Pro,Xiaomi,xiaomi,2026-09-21,large,True,True,46.3242065310383,5.867537242690095,,0.021122,0.003029,0.002893,0.0152,473.7,20796.5,3325.3,17471.2,,2193.173304187023,0.09779228737816825,0.0004559603192738502,43.902258813595104,2.227500133726266
qwen3-8-max,Qwen3.8 Max (0902),Qwen3.8 Max (0902),Alibaba,alibaba,2026-09-02,large,True,False,45.4152084980521,5.590710935336738,,0.156468,0.007406,0.007526,0.141536,487.4,24843.6,1254.3,23589.3,,290.25237427494505,0.09317851558894565,0.003445277588161046,50.97168649979483,1.8280445868574644
glm-5-3,GLM-5.3 (max),GLM-5.3 (max),Z AI,zai,2026-08-18,large,True,True,44.777392385614,6.699859209817556,,0.15892,0.006115,0.004153,0.148652,401.0,34728.3,943.8,33784.5,,281.760586368072,0.11166432016362593,0.003549112432260739,86.60423940149627,1.289363210569305
grok-4-6,Grok 4.6 (high),Grok 4.6 (high),SpaceXAI,xai,2026-08-12,large,True,False,44.3113073012592,16.544358668796217,,0.066873,0.005686,0.003091,0.058096,160.7,10197.8,515.2,9682.6,,662.6188043195191,0.2757393111466036,0.0015091633281173735,63.458618543870564,4.3451830101844715
step-5,Step 5 Preview,Step 5 Preview,StepFun,stepfun,2026-09-18,large,True,False,43.7343049141614,14.184098891079373,,0.044989,0.003221,0.002192,0.039576,185.0,15469.6,811.7,14657.8,,972.1110696872879,0.2364016481846562,0.0010286890368625093,83.61945945945946,2.8271128480478747
kimi-k3,Kimi K3 (max),Kimi K3 (max),Kimi,kimi,2026-07-16,large,True,True,43.5938229518782,9.655331772287532,,0.163338,0.007471,0.007591,0.148276,270.9,10391.2,506.1,9885.1,,266.8933313244817,0.1609221962047922,0.0037468152352754997,38.35806570690292,4.195263583789957
glm-5-3-flash,GLM 5.3 Flash,GLM-5.3-Flash,Z AI,zai,2026-08-26,large,True,True,41.807466113455,2.9235990289129368,,0.022786,0.000576,0.000417,0.021793,858.0,44420.3,834.1,43586.3,,1834.7874183031247,0.04872665048188229,0.0005450222679883181,51.771911421911426,0.9411792831983349
gemini-3-8-flash,Gemini 3.8 Flash (high),Gemini 3.8 Flash (high),Google,google,2026-09-02,large,True,False,40.9262321765904,30.39076646776515,,0.093127,0.001995,0.002368,0.088764,80.8,24301.8,631.5,23670.3,,439.4668804599139,0.5065127744627526,0.0022754843299078037,300.76485148514854,1.6840823386164976
deepseek-v4-1-flash,"DeepSeek V4.1 Flash (Reasoning, Max Effort)",DeepSeek V4.1 Flash (max),DeepSeek,deepseek,2026-09-10,large,True,True,39.456167472527,34.21054983167081,,0.027666,0.000862,0.000595,0.02621,69.2,22336.9,495.4,21841.5,,1426.1609004744814,0.5701758305278468,0.0007011831551876802,322.78757225433526,1.7664119673064302
gpt-5-6-luna,GPT-5.6 Luna (max),GPT-5.6 Luna (max),OpenAI,openai,2026-07-09,medium,True,False,37.3244239690841,21.700246493653548,,0.016448,0.000637,0.000541,0.015269,103.2,13175.4,451.2,12724.3,,2269.2378385873117,0.3616707748942258,0.00044067659325764584,127.66860465116278,2.832887348322184
gpt-6-luna,GPT-6 Luna (max),GPT-6 Luna (max),OpenAI,openai,2026-09-22,medium,True,False,37.2559686869738,20.79402903459003,,0.008176,0.000295,0.000254,0.007626,107.5,15761.3,508.9,15252.5,,4556.747637839262,0.3465671505765005,0.00021945476894440972,146.6167441860465,2.3637624235928385
qwen3-8-27b,Qwen3.8 27B (xhigh),Qwen3.8 27B (xhigh),Alibaba,alibaba,2026-08-14,small,True,True,33.6962858057476,3.9830125065895503,,0.09058,0.001883,0.003858,0.084838,507.6,29565.5,1286.1,28279.4,,372.0058048768779,0.06638354177649251,0.0026881300960638725,58.2456658786446,1.1397164196698044
k2-horizon-375b-a23b,K2 Horizon 375B A23B,K2 Horizon 375B A23B,Institute of Foundation Models,ifm,2026-09-03,large,True,True,30.5015302696723,,,,,,,,,,,,,,,,
minimax-m3,MiniMax-M3,MiniMax-M3,MiniMax,minimax,2026-06-01,large,True,True,29.2202932236316,14.708201287062884,,0.026465,0.004611,0.00061,0.021244,119.2,18211.1,508.0,17703.1,,1104.1108340688306,0.24513668811771477,0.0009057061747277989,152.77768456375838,1.6045320284678906
inkling,Inkling (xhigh),Inkling,Thinking Machines,thinking-machines,2026-07-15,large,True,True,24.9847810999384,12.834647825310823,,0.094688,0.002374,0.001895,0.09042,116.8,22793.6,467.8,22325.9,,263.86428164010647,0.21391079708851368,0.0037898270799832405,195.15068493150685,1.0961314184656394
nvidia-nemotron-3-ultra-550b-a55b,Nemotron 3 Ultra 550B A55B (Reasoning),Nemotron 3 Ultra,NVIDIA,nvidia,2026-06-04,large,True,True,22.9279123422858,15.117304841067561,,0.033009,0.001525,0.002864,0.02862,91.0,12593.6,1145.5,11448.1,,694.5957872787968,0.2519550806844593,0.001439686243876714,138.39120879120878,1.8206003320961281
gemini-3-5-flash-lite,Gemini 3.5 Flash-Lite,Gemini 3.5 Flash-Lite,Google,google,2026-07-21,medium,True,False,22.1685424839812,62.15479201116224,,0.019232,0.000782,0.001426,0.017024,21.4,7379.9,570.5,6809.5,,1152.6904369790557,1.0359132001860374,0.0008675356087977764,344.8551401869159,3.003908248618708
muse-glimmer,Muse Glimmer (high),Muse Glimmer (high),Meta,meta,2026-08-10,small,True,True,17.4754176089465,14.226934281367573,,0.011114,0.000669,0.000603,0.009842,73.7,7737.1,446.4,7290.7,,1572.3787663259402,0.23711557135612618,0.0006359790792244194,104.98100407055631,2.2586521576490544
mistral-medium-3-5,Mistral Medium 3.5,Mistral Medium 3.5,Mistral,mistral,2026-04-29,medium,True,True,14.1889227802691,9.124709183452799,,0.108206,0.002141,0.058389,0.047676,93.3,14142.0,7785.3,6356.8,,131.12879859036562,0.15207848639087998,0.007626089850208333,151.57556270096464,1.0033179734315585
