harness,model,creator,provider,index_score,score_per_minute,deepswe,terminal_bench_v2_1,swe_atlas_qna,cost_per_task_usd,avg_execution_time_sec,mean_steps,total_tokens,input_tokens,output_tokens,cache_hit_rate,score_per_cost,score_per_1000_tokens,score_per_sec,cost_per_score,token_efficiency
Codex,DeepSeek V4 Flash 0731 (max),OpenAI,deepseek,0.3874247758775307,0.021189270426274755,,,0.513440860215054,0.08506419165060494,1097.0404400440034,121.66666666666667,15350225.299229927,15269826.30913091,80398.9900990099,0.9869993314104538,4.5544990008116475,2.5239028634776235e-05,0.00035315450710457925,0.21956311766053568,13992.396942645264
Codex,GPT-6 Luna (max),OpenAI,openai,0.4107438934016153,0.019164879849607495,,,0.443548387096774,0.17591172304455457,1285.9268514851478,88.64301430143014,10218069.248074815,10119727.864136413,98341.38393839383,0.9606438143896164,2.334943267525058,4.0197798960797174e-05,0.0003194146641601249,0.42827593025845034,7946.073477098422
Devin Fusion CLI,GPT-6 Astra XHigh + SWE-2 Medium,,cognition,0.588884131062264,0.02384313631717553,,,0.594086021505376,4.536492777821779,1481.89598019802,78.55115511551155,6074134.4950494915,6017554.665016501,56579.83003300329,0.920061132172241,0.12981044165687392,9.69494718205883e-05,0.0003973856052862588,7.703540541394086,4098.893968413241
Claude Code,Qwen3.8 Max,Anthropic,alibaba_cloud,0.43265296412598736,0.006859493602702238,,,0.620967741935484,3.478965577837015,3784.416073707372,110.03670136244394,8706893.798112892,8600561.252779894,106332.54533299482,0.9507113544554301,0.1243625308862589,4.969085119882356e-05,0.00011432489337837064,8.041007149609982,2300.723183849934
Devin Fusion CLI,Claude Fable 5.1 XHigh + SWE-2 Medium,,cognition,0.6168255492406223,0.01723785249731221,,,0.658602150537635,7.897126985217273,2146.9920896589642,99.53135313531354,9691548.173817372,9590504.44719472,101043.72662266226,0.9584900963367992,0.07810758905045663,6.364571874151485e-05,0.0002872975416218702,12.802853245847995,4514.012054584146
Codex,GPT-5.6 Sol (max),OpenAI,openai,0.54559127289644,0.02644871163008279,,,0.540322580645161,6.353318230693071,1237.696445544555,116.39493949394938,10170136.632563243,10120981.254675467,49155.37788778878,0.9458037017976718,0.08587501099199978,5.364640541303439e-05,0.00044081186050137983,11.644831114992943,8216.987831849709
Claude Code,Opus 5 (max),Anthropic,anthropic,0.5972636729844837,0.014245775069147076,,,0.620967741935484,10.789154699257413,2515.540235973597,152.13036303630363,11374850.488998907,11238194.40979098,136656.0792079208,0.9698258997320075,0.05535778192387877,5.250738667397188e-05,0.00023742958448578458,18.064307586873284,4521.832060697078
Kimi Code CLI,Kimi K3,Moonshot AI,moonshotai,0.519259105470924,0.008444738328521398,,,0.661290322580645,5.047195443300332,3689.3441947194724,173.36028602860284,8481121.533553353,8387890.666666667,93230.86688668867,0.9500000000000017,0.10288072084868255,6.12252876481737e-05,0.00014074563880868998,9.719994103373407,2298.815476661763
Muse Code 1.0.2 RC,Muse Spark 1.3 (xhigh),Meta,meta,0.482993172759088,0.026388192973374257,,,0.545698924731183,3.467754041474145,1098.202911991198,187.48954895489547,16237094.352035202,16091465.103960397,145629.2480748075,0.9661832360411203,0.13928126590943782,2.974628109484061e-05,0.0004398032162229042,7.179716478526343,14785.149606455732
Grok Build,Grok 4.6 (xhigh),xAI,xai,0.4696895205744764,0.024141553838545746,,,0.583333333333333,3.5701432805280535,1167.3387480748086,112.06160616061608,5543624.597359739,5487669.762376238,55954.83498349835,0.9057792630165156,0.1315604119129374,8.472606907729202e-05,0.0004023592306424291,7.601070758745943,4748.942504052369
Codex,GPT-5.6 Luna (max),OpenAI,openai,0.4322468668029613,0.018364037631598277,,,0.486559139784946,0.43802256393839384,1412.260883388339,121.51375137513753,14854524.539053895,14783219.74807481,71304.79097909792,0.971880328680834,0.9868141561395799,2.9098667255659717e-05,0.0003060672938599712,1.0133620335484477,10518.258144638596
Codex,DeepSeek V4 Pro 0813 (max),OpenAI,deepseek,0.4305203524444174,0.010684875614102788,,,0.618279569892473,0.23804610720792058,2417.5500099009905,138.14631463146316,24180108.028052814,24063625.627062704,116482.400990099,0.9898485564269163,1.8085586758550973,1.780473238353379e-05,0.00017808126023504645,0.5529264896684616,10001.906032563562
Grok Build,Grok 4.7 (xhigh),xAI,xai,0.5626764360706693,0.01433955552408987,,,0.629032258064516,8.817468730473037,2354.367686468646,162.64576457645765,14324724.283828393,14201447.955995597,123276.32783278328,0.938882976190201,0.06381382835258244,3.928008839275821e-05,0.0002389925920681645,15.670584665048258,6084.319100265209
Muse Code,Muse Spark 1.3 (max),Meta,meta,0.5430273329930766,0.02943627526383025,,,0.594086021505376,3.977504096947204,1106.8533531353135,185.23817381738175,16709444.57370737,16445971.068206819,263473.5055005501,0.9712826195905685,0.13652464454024282,3.24982276100033e-05,0.0004906045877305042,7.32468488284717,15096.34905687875
Antigravity SDK v0.1.12,Gemini 3.8 Flash (high),Google,google,0.4186315529449987,0.03574427079166177,,,0.451612903225807,2.4673922004125437,702.7110253025301,188.4884488448845,13511073.155115515,13395246.748624865,115826.40649064905,0.8697428234581179,0.1696655897976026,3.098433027035294e-05,0.0005957378465276962,5.8939470354178445,19227.068693420242
Codex,GPT-6 Sol (max),OpenAI,openai,0.5666259127577997,0.025408232900015256,,,0.575268817204301,2.989729004180416,1338.0527051705185,86.55005500550054,9840777.763476355,9778602.140814083,62175.62266226623,0.9640119921972632,0.18952417157725995,5.757938309112199e-05,0.00042347054833358764,5.276371829924331,7354.551674571196
Codex,GPT-6 Astra (max),OpenAI,openai,0.6164504498789397,0.020991108814940297,,,0.618279569892473,7.46709735138597,1762.0330264026397,39.378437843784376,3346611.012209417,3299549.915435806,47061.09677361179,0.9335591564904552,0.08255556622206355,0.00018420140483311266,0.0003498518135823383,12.113053616640851,1899.2896058491285
Claude Code,Fable 5.1 (max) (with fallback),Anthropic,anthropic,0.6222249615769457,0.017863771211194684,,,0.647849462365591,12.388092375137534,2089.900125412543,36.65676567656766,5715253.85918592,5581622.259625964,133631.59955995603,0.9159555838702423,0.050227665627173505,0.00010887092278094807,0.0002977295201865781,19.90934652274569,2734.7019073735587
Claude Code,Opus 5.5 (max),Anthropic,anthropic,0.659885802549234,0.010238480145102096,,,0.663978494623656,13.036383418426828,3867.0923410341024,155.0957095709571,15551383.220022004,15218206.418041805,333176.801980198,0.9500106599458848,0.050618778335139364,4.2432611505557145e-05,0.0001706413357517016,19.75551431484872,4021.4667374256173
Opencode,GLM-5.3,Opencode,zai,0.5355484140097326,0.01112652294860106,,,0.594086021505376,4.241385833751375,2887.9556523652373,107.04950495049505,14276424.426842693,14202165.166116614,74259.26072607259,0.9745705628087887,0.12626731804214486,3.751278317299032e-05,0.000185442049143351,7.919705712496602,4943.436169163572
